ID;Data;Topico;Orador;Papel;Partido;Estado;Posicionamento;sit.op;Local;Texto
106101;37587;10610;Jose Antonio Almeida;Deputado;PSB;Maranhao;2,75;Oposicao;Plenario;"""Sr. Presidente, peco a palavra pela ordem."""
106102;37587;10610;Aecio Neves;Presidente;PSDB;Minas Gerais;4,33;Situacao;Plenario;"""Tem V.Exa. a palavra"""
106103;37587;10610;Jose Antonio Almeida;Deputado;PSB;Maranhao;2,75;Oposicao;Plenario;"""Sr. Presidente, quanto a Medida Provisoria n 66, V.Exa. anunciou a votacao ou a adiou? """
106104;37587;10610;Aecio Neves;Presidente;PSDB;Minas Gerais;4,33;Situacao;Plenario;"""Adiei mais uma vez. A Medida Provisoria n 66 sera votada impreterivelmente na proxima terca-feira.
Aproveito a pergunta de V.Exa. para esclarecer ao Plenario que hoje estarao
na pauta as Medidas Provisorias n 70 e 72, e impreterivelmente na proxima terca-feira
votaremos as Medidas Provisorias n 71 e n 66, com o que desobstruiremos a
pauta da Casa. Concedo a palavra, para oferecer
parecer a medida provisoria, em substituicao a Comissao Mista, ao Sr. Deputado
Robson Tuma."""
106105;37587;10610;Robson Tuma;Relator;PFL;Sao Paulo;5,20;Situacao;Plenario;"""Sr. Presidente, a Medida Provisoria n 70 dispoe sobre a participacao de
capital estrangeiro nas empresas jornalisticas e de radiodifusao sonora e de sons e
imagens, conforme o § 4º do art. 222 da Constituicao, altera os arts. 38 e 64 da Lei
n 4.117, de 27 de agosto de 1962, o § 3º do art. 12 do Decreto-Lei n 236, de 28 de
fevereiro de 1967, e da outras providencias.
Vou tentar encurtar a leitura do relatorio, para que todos possam
assenhorear-se da materia.
Foram apresentadas a medida provisoria dez emendas.
As Emendas n 1, 2 e 6 sao acolhidas parcialmente, na forma do projeto de
lei de conversao que apresento, sendo substituidas as remissoes ao orgao regulador
por orgao do Poder Executivo expressamente definido pelo Presidente da Republica.
Quanto as Emendas n 3, 4, 5 e 10, votamos pela rejeicao, em virtude da
remissao ao Conselho de Comunicacao Social, uma vez que se trata de orgao
auxiliar do Congresso Nacional, o que nao impede que os Srs. Parlamentares
enviem as materias ao referido Conselho para que este opine.
A Emenda n 7 e acolhida, com a supressao do art. 9º da medida provisoria,
por entendermos que existe o perigo de haver uma concentracao de poder nas
empresas de comunicacao, o que poderia causar serios danos a democracia,
advindos exatamente dessa concentracao. Somos pela rejeicao da Emenda n 8, uma vez que ela suprime apenas o
caput do art. 10, deixando sem sentido os paragrafos, que ficariam soltos.
A Emenda n 9 foi acolhida parcialmente, na forma do art. 10 da medida
provisoria, renumerado como art. 9º no projeto de lei de conversao.
Tres dessas emendas foram apresentadas pelo nobre Deputado Walter
Pinheiro e as demais sao subscritas por S.Exa. e pelo Deputado Luciano Zica.
Trata-se de materia incansavelmente discutida. Tentamos atender ao maximo as
colaboracoes muito interessantes feitas por S.Exas.
Ressalto ainda a importancia da introducao do § 2º do art. 6º no projeto de lei
de conversao, o que fazemos com emenda de Relator, para coibir definitivamente a
entrada de recursos de origens ilicitas no capital de empresas jornalisticas e de
radiodifusao.
A adicao de tal dispositivo e de suma importancia, uma vez que severas
sancoes passam a ser aplicaveis na ocorrencia de aquisicoes e participacoes
societarias por meio de recursos oriundos do crime organizado — trafico de drogas,
corrupcao e outros tantos crimes que vem assombrando o Pais e todo o mundo,
como o proprio terrorismo.
Sendo essas as consideracoes que tinha a fazer, manifesto-me pela
admissibilidade da Medida Provisoria n 70, de 2002, considerando atendidos os
pressupostos constitucionais de relevancia e urgencia, observadas as vedacoes do
texto constitucional. Opino, tambem, pela constitucionalidade, juridicidade e boa
tecnica legislativa, bem como pela sua adequacao orcamentaria e financeira. No merito, voto pela rejeicao das Emendas n 3, 4, 5, 8 e 10 e pelo
acolhimento parcial das Emendas n 1, 2, 6, 7 e 9, tudo na forma do projeto de lei
de conversao que ofereco em anexo.
Passo a ler o projeto de conversao, que peco a Mesa seja distribuido aos Srs.
Parlamentares: “Projeto de Lei de Conversao
(Da Medida Provisoria n 70, de 1º de outubro de
2002)
Dispoe sobre a participacao de capital estrangeiro
nas empresas jornalisticas e de radiodifusao sonora e de
sons e imagens, conforme o § 4º do art. 222 da
Constituicao, altera os arts. 38 e 64 da Lei n 4.117, de 27
de agosto de 1962, o § 3º do art. 12 do Decreto-Lei n
236, de 28 de fevereiro de 1967, e da outras providencias.
O Congresso Nacional decreta:
Art. 1º Esta lei disciplina a participacao de capital
estrangeiro nas empresas jornalisticas e de radiodifusao
sonora e de sons e imagens de que trata o § 4º do art.
222 da Constituicao.
Art. 2º A participacao de estrangeiros ou de
brasileiros naturalizados ha menos de dez anos no capital
social de empresas jornalisticas e de radiodifusao nao
podera exceder a trinta por cento do capital total e do capital votante dessas empresas e somente se dara de
forma indireta, por intermedio de pessoa juridica
constituida sob as leis brasileiras e que tenha sede no
Pais.
§ 1º As empresas efetivamente controladas,
mediante encadeamento de outras empresas ou por
qualquer outro meio indireto, por estrangeiros ou por
brasileiros naturalizados ha menos de dez anos nao
poderao ter participacao total superior a trinta por cento
no capital social, total e votante, das empresas
jornalisticas e de radiodifusao”.
No caso do § 2º, havia proposta de alteracao, que foi atendida parcialmente:
“§ 2º e facultado ao orgao do Poder Executivo
expressamente definido pelo Presidente da Republica
requisitar das empresas jornalisticas e das de
radiodifusao, dos orgaos de registro comercial ou de
registro civil das pessoas juridicas as informacoes e os
documentos necessarios para a verificacao do
cumprimento do disposto neste artigo.
Art. 3º As alteracoes de controle societario de
empresas jornalisticas e de radiodifusao sonora e de sons
e imagens serao comunicadas ao Congresso Nacional.
Paragrafo unico. A comunicacao ao Congresso
Nacional de alteracao de controle societario de empresas de radiodifusao sera de responsabilidade do orgao
competente do Poder Executivo e a comunicacao de
alteracoes de controle societario de empresas
jornalisticas sera de responsabilidade destas empresas.
Art. 4º As empresas jornalisticas deverao
apresentar, ate o ultimo dia util de cada ano, aos orgaos
de registro comercial ou de registro civil das pessoas
juridicas, declaracao com a composicao de seu capital
social, incluindo a nomeacao dos brasileiros natos ou
naturalizados ha mais de dez anos titulares, direta ou
indiretamente, de pelo menos setenta por cento do capital
total e do capital votante.
Art. 5º Os orgaos de registro comercial ou de
registro civil das pessoas juridicas nao procederao ao
registro ou arquivamento dos atos societarios de
empresas jornalisticas e de radiodifusao, caso seja
constatada infracao aos limites percentuais de
participacao previstos no art. 2º, sendo nulo o ato de
registro ou arquivamento baseado em declaracao que
omita informacao ou contenha informacao falsa.
Art. 6º Sera nulo de pleno direito qualquer acordo
entre socios, acionistas ou cotistas, ou qualquer ato,
contrato ou outra forma de avenca que, direta ou
indiretamente, confira ou objetive conferir, a estrangeiros ou a brasileiros naturalizados ha menos de dez anos,
participacao no capital total e no capital votante de
empresas jornalisticas e de radiodifusao, em percentual
acima do previsto no art. 2º, ou que tenha por objeto o
estabelecimento, de direito ou de fato, de igualdade ou
superioridade de poderes desses socios em relacao aos
socios brasileiros natos ou naturalizados ha mais de dez
anos.
§ 1º Sera tambem nulo qualquer acordo, ato,
contrato ou outra forma de avenca que, direta ou
indiretamente, de direito ou de fato, confira ou objetive
conferir aos socios estrangeiros ou brasileiros
naturalizados ha menos de dez anos a responsabilidade
editorial, a selecao e direcao da programacao veiculada e
a gestao das atividades das empresas referidas neste
artigo”.
O paragrafo seguinte foi incluido por este Relator para inibir a entrada de
dinheiro ilicito:
“§ 2º Caracterizada a pratica dos crimes tipificados
no art. 1º da Lei n 9.613, de 1º de marco de 1998,
aplicar-se-a a sancao prevista no art. 91, inciso II, letra ‘a’,
do Codigo Penal a participacao no capital de empresas
jornalisticas e de radiodifusao adquirida com os recursos
de origem ilicita, sem prejuizo da nulidade de qualquer acordo, ato ou contrato ou outra forma de avenca que
vincule ou tenha por objeto tal participacao societaria.
Art. 7º Os arts. 38 e 64 da Lei n 4.117, de 27 de
agosto de 1962, passam a vigorar com a seguinte
redacao:
‘Art. 38. Nas concessoes, permissoes ou
autorizacoes para explorar servicos de radiodifusao, serao
observados, alem de outros requisitos, os seguintes
preceitos e clausulas:
a) os administradores ou gerentes que detenham
poder de gestao e de representacao civil e judicial serao
brasileiros natos ou naturalizados ha mais de dez anos.
Os tecnicos encarregados da operacao dos equipamentos
transmissores serao brasileiros ou estrangeiros com
residencia exclusiva no Pais, permitida, porem, em
carater excepcional e com autorizacao expressa do orgao
competente do Poder Executivo, a admissao de
especialistas estrangeiros, mediante contrato;
b) as alteracoes contratuais ou estatutarias que nao
impliquem alteracao dos objetivos sociais ou modificacao
do quadro diretivo e as cessoes de cotas ou acoes ou
aumento de capital social que nao resultem em alteracao
de controle societario deverao ser informadas ao orgao do
Poder Executivo expressamente definido pelo Presidente da Republica, no prazo de sessenta dias a contar da
realizacao do ato;
c) a alteracao dos objetivos sociais, a modificacao
do quadro diretivo, a alteracao do controle societario das
empresas e a transferencia da concessao, da permissao
ou da autorizacao dependem, para sua validade, de
previa anuencia do orgao competente do Poder
Executivo;(...)
g) a mesma pessoa nao podera participar da
administracao ou da gerencia de mais de uma
concessionaria, permissionaria ou autorizada do mesmo
tipo de servico de radiodifusao, na mesma localidade; (...)
i) as concessionarias e permissionarias de servicos
de radiodifusao deverao apresentar, ate o ultimo dia de
cada ano, ao orgao do Poder Executivo expressamente
definido pelo Presidente da Republica e aos orgaos de
registro comercial ou de registro civil de pessoas juridicas,
declaracao com a composicao de seu capital social,
incluindo a nomeacao dos brasileiros natos ou
naturalizados ha mais de dez anos titulares, direta ou
indiretamente, de pelo menos setenta por cento do capital
total e do capital votante.
Paragrafo unico. Nao podera exercer a funcao de
diretor ou gerente de concessionaria, permissionaria ou autorizada de servico de radiodifusao quem esteja no
gozo de imunidade parlamentar ou de foro especial.’ (NR)
‘Art. 64.......................................................................
g) nao-observancia, pela concessionaria ou
permissionaria, das disposicoes contidas no art. 222,
caput e seus §§ 1º e 2º, da Constituicao’. (NR)
Art. 8º Na aplicacao desta Lei, devera ser
obedecido o disposto no art. 12 do Decreto-Lei n 236, de
28 de fevereiro de 1967.
Art. 9º Nao se aplica a limitacao estabelecida no
caput do art. 12 do Decreto-Lei n 236, de 1967, aos
investimentos de carteira de acoes, desde que o seu
titular nao indique administrador em mais de uma
empresa executante de servico de radiodifusao, ou em
suas respectivas controladoras, nem detenha mais de
uma participacao societaria que configure controle ou
coligacao em tais empresas.
§ 1º Entende-se como coligacao, para fins deste
artigo, a participacao, direta ou indireta, em pelo menos
quinze por cento do capital de uma pessoa juridica, ou se
o capital de duas pessoas juridicas for detido, em pelo
menos quinze por cento, direta ou indiretamente, pelo
mesmo titular de investimento financeiro. § 2º Consideram-se investimentos de carteira de
acoes, para os fins do caput deste artigo, os recursos
aplicados em acoes de companhias abertas, por
investidores individuais e institucionais, estes ultimos
entendidos como os investidores, com sede ou domicilio
no Brasil ou no exterior, que apliquem, de forma
diversificada, por forca de disposicao legal, regulamentar
ou de seus atos constitutivos, recursos no mercado de
valores mobiliarios, devendo cada acao ser nominalmente
identificada.
Art. 10. Ficam convalidados os atos praticados com
base na Medida Provisoria n 70, de 1º de outubro de
2002.
Art. 11. Esta Lei entra em vigor na data de sua
publicacao”.
Esse e o projeto de conversao.
PARECER ESCRITO ENCAMINHADO a MESA"""
106106;37587;10610;Aecio Neves;Presidente;PSDB;Minas Gerais;4,33;Situacao;Plenario;"""Em discussao.
Concedo a palavra ao Deputado Walter Pinheiro para discutir a materia."""
106107;37587;10610;Walter Pinheiro;Deputado;PT;Bahia;2,27;Oposicao;Plenario;"""Sr. Presidente,
em nome da bancada do Partido dos Trabalhadores, registro que a medida
provisoria em tela diverge da acao conduzida por V.Exa. na Casa quando da
votacao da PEC que alterou o dispositivo constitucional que trata do capital
estrangeiro. Deveria cuidar exclusivamente da regulamentacao de tal dispositivo.
Naquela epoca, o Governo, representado pelo Deputado Henrique Eduardo
Alves, defendeu acordo, realizado neste plenario, para alteracao do dispositivo
constitucional que versava sobre um projeto de lei regulamentando o dispositivo. Tal
acordo obviamente nao foi seguido pelo Governo, na medida em que ele enviou ao
Congresso a Medida Provisoria n 70.
Alem desse descumprimento, tal medida trouxe no seu corpo a modificacao
do § 3º — o Decreto-Lei n 236, de 1967 —, que possibilitou a realizacao de uma
trama sordida contra o funcionamento do setor de radiodifusao, no aspecto previsto
anteriormente, relacionado a concentracao de poder na area.
Por isso, Sr. Presidente, insistimos na mudanca desse artigo. Sei que V.Exa.
esta querendo votar a materia, ja que conduziu, nesta Casa, acordo para votacao da
PEC, assim como a questao do proprio Conselho. Um dos acordos era o envio de
materia como projeto de lei. A bancada do PT votara favoravelmente a medida com
essas mudancas, considerando as emendas apresentadas.
Queremos registrar essa atitude, mesmo sendo final de Governo, porque
podera dificultar os passos no que diz respeito a conducao de acordos a partir de
determinados atos. O Deputado Henrique Eduardo Alves teve uma postura corretissima
conduzindo a negociacao pelo Governo a epoca. Chegamos a um termo que agora,
de certa forma, contempla a bancada. Entao, as modificacoes apresentadas
contemplam a bancada no que diz respeito a saida desse art. 9º e a modificacao do
art. 10, no que tange ao percentual em relacao ao capital estrangeiro. Espero que o
futuro Governo conduza o debate referente a regulacao.
Dessa forma, repito, a bancada do PT vota favoravelmente a esta materia,
fazendo, em tempo, esses registros."""
106108;37587;10610;Aecio Neves;Presidente;PSDB;Minas Gerais;4,33;Situacao;Plenario;"""Nao havendo mais oradores inscritos,
declaro encerrada a discussao."""
106109;37587;10610;Aecio Neves;Presidente;PSDB;Minas Gerais;4,33;Situacao;Plenario;"""Em votacao o parecer do Relator na
parte em que manifesta opiniao favoravel ao atendimento dos pressupostos
constitucionais de relevancia e urgencia e de sua adequacao financeira e
orcamentaria, nos termos do art. 8º da Resolucao n 1, de 2002, do Congresso
Nacional."""
1061010;37587;10610;Aecio Neves;Presidente;PSDB;Minas Gerais;4,33;Situacao;Plenario;"""Os Deputados que aprovam o parecer
permanecam como se acham. (Pausa.) APROVADO."""
